dataset_id,visible_leaf_count,a_true_path_count,a_missing_leaf_count,a_false_branch_count,a_wrong_connection,a_base_selection,b_true_path_count,b_missing_leaf_count,b_false_branch_count,b_wrong_connection,b_base_selection,c_true_path_count,c_missing_leaf_count,c_false_branch_count,c_wrong_connection,c_base_selection,d_true_path_count,d_missing_leaf_count,d_false_branch_count,d_wrong_connection,d_base_selection,preferred_variant,a_vs_b_decoder,a_vs_c_teacher,c_vs_d_decoder,b_vs_d_teacher,d_vs_a,comparison_note
"v4_val_0013","2","2","0","0","yes","wrong","2","0","0","yes","wrong","2","0","0","no","wrong","2","0","0","no","wrong","none","same","C_better","same","D_better","improved",""
"v4_val_0014","2","2","0","0","no","correct","2","0","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","A_better","same","B_better","worse",""
"v4_val_0015","3","1","2","0","yes","correct","1","2","0","yes","correct","2","1","0","no","correct","2","1","0","no","correct","none","same","C_better","same","D_better","improved",""
"v4_val_0016","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0017","3","2","1","0","no","correct","3","0","0","no","correct","2","1","0","no","correct","3","0","0","no","correct","tie","B_better","same","D_better","same","improved",""
"v4_val_0018","3","3","0","0","no","correct","3","0","1","yes","correct","3","0","0","no","correct","3","0","0","no","correct","tie","A_better","same","same","same","same",""
"v4_val_0019","3","3","0","0","no","correct","3","0","0","no","correct","2","1","0","no","correct","2","1","0","no","correct","tie","same","A_better","same","B_better","worse",""
"v4_val_0020","3","3","0","0","no","correct","3","0","0","no","correct","3","0","0","no","correct","3","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0021","2","1","1","0","no","correct","2","0","0","no","correct","1","1","0","no","correct","2","0","0","no","correct","tie","B_better","same","D_better","same","improved",""
"v4_val_0022","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0023","2","1","1","0","no","correct","2","0","0","no","correct","0","2","0","no","wrong","0","2","0","no","wrong","none","same","A_better","same","B_better","worse",""
"v4_val_0024","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0025","2","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","same","same","same","same",""
"v4_val_0026","2","1","1","0","no","correct","2","0","0","no","correct","1","1","0","no","correct","2","0","0","no","correct","tie","B_better","same","D_better","same","improved",""
"v4_val_0027","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0028","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0029","2","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0030","2","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","same","same","same","same",""
"v4_val_0031","2","0","2","0","yes","wrong","0","2","0","yes","wrong","0","2","0","yes","wrong","0","2","0","yes","wrong","none","same","same","same","same","same",""
"v4_val_0032","1","1","0","0","no","correct","1","0","0","no","correct","1","0","0","no","correct","1","0","0","no","correct","tie","same","same","same","same","same",""
"v4_val_0033","3","2","1","0","no","correct","3","0","0","no","correct","2","1","0","no","correct","3","0","0","no","correct","tie","B_better","same","D_better","same","improved",""
"v4_val_0034","2","2","0","0","no","wrong","2","0","1","yes","wrong","2","0","0","no","wrong","2","0","2","yes","wrong","none","A_better","same","C_better","same","worse",""
"v4_val_0035","3","3","0","0","no","correct","3","0","1","yes","correct","3","0","0","no","wrong","3","0","0","no","wrong","A","A_better","A_better","same","uncertain","worse",""
"v4_val_0036","3","3","0","0","no","correct","3","0","1","yes","correct","3","0","0","no","correct","3","0","1","yes","correct","tie","A_better","same","C_better","same","worse",""
"v4_val_0037","2","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","same","same","same","same","可能是数据集的问题，有一个小叶，肉眼看微乎其微"
"v4_val_0038","2","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","1","1","0","no","correct","none","same","same","same","same","same",""
"v4_val_0039","2","1","1","0","no","correct","1","1","0","no","correct","2","0","0","no","correct","2","0","0","no","correct","tie","same","C_better","same","D_better","improved",""
"v4_val_0040","2","0","2","0","yes","correct","0","2","0","yes","correct","0","2","0","yes","correct","0","2","0","yes","correct","none","B_better","same","same","same","same",""
